Y,age35_twogrid,local_threegrid,people_threegrid,rich1_threegrid,road,internetj1500,entertainmentj1000,residentialj1000,atmj1500,hospitalj1500,non_local_twogrid,age25_threegrid
0.396564284,0.14154334,0.768301793,16064,0,25.9755098,12,5,37,50,13,0.188266385,0.224290339
0.408038065,0.130404863,0.787972396,15215,0,26.92597084,9,7,57,43,16,0.165385939,0.213407821
0.498210789,0.135608135,0.8096582,15945,0,28.52620041,8,7,61,44,19,0.15760657,0.217309501
0.629485588,0.138231412,0.818698561,16889,0.000236841,29.99543694,8,7,67,45,27,0.144566652,0.218899876
0.78528403,0.158008882,0.79727339,19218,0.000208138,31.50123169,7,7,72,49,29,0.198388929,0.235820585
0.879167286,0.160037681,0.763391655,14860,0.000269179,31.82418976,8,6,70,52,37,0.21477915,0.264199192
0.874825022,0.165175576,0.739325213,14286,0.000279994,31.31891144,9,3,73,69,33,0.223999105,0.276704466
0.76891407,0.178823826,0.735566976,14983,0.000266969,30.06152344,9,5,77,80,36,0.241292277,0.278916105
0.582119875,0.183951885,0.678816312,16626,0.000240587,28.18713638,5,6,91,74,34,0.273434062,0.291711777
0.359760564,0.207770583,0.663627463,16342,0,26.72963829,4,8,82,70,36,0.216466235,0.301615469
0.160814492,0.215665042,0.673061497,14960,0.00026738,26.73852087,4,10,73,71,34,0.176502436,0.291377005
0.056432904,0.215563947,0.708666558,18381,0.000217616,28.05484418,4,10,70,68,32,0.152684288,0.29470649
0.008913147,0.204541715,0.723448166,18897,0.000211674,30.94309067,4,10,68,57,29,0.135757775,0.286130074
0.000446997,0.205439617,0.720485003,17237,0.000232059,33.32736969,4,5,62,53,25,0.141122135,0.285954632
0,0.203615209,0.76815307,12491,0.000320231,34.15379517,3,4,49,51,18,0.150218159,0.274437595
0,0.202573227,0.774304532,10173,0.000393198,35.03497055,3,3,41,48,17,0.163701068,0.26786592
0,0.19662672,0.775917262,8122,0,35.60518356,1,1,31,35,8,0.197958278,0.269884265
0,0.186558517,0.722122838,3354,0,36.11400894,1,1,13,33,7,0.315179606,0.2143709
3.255007909,0.201975915,0.470353376,33562,0,19.54685089,9,16,64,46,13,0.503332164,0.245068828
2.821468419,0.204276973,0.502753181,26878,0,20.68184801,10,15,57,55,15,0.465923548,0.262259097
2.22684016,0.204396086,0.531379948,25972,0,23.13374217,16,11,53,57,16,0.428435811,0.269752041
1.515080747,0.211340206,0.56092027,22037,0,24.76652321,15,11,51,59,21,0.267268041,0.282116441
0.827667839,0.159821065,0.730101959,18733,0,25.46033302,13,16,43,64,24,0.191134608,0.244274809
0.463985551,0.139631965,0.771768692,22429,0,25.40264374,12,13,52,65,28,0.166297495,0.240135539
0.445174359,0.124837572,0.763712016,23793,0,25.34404442,11,12,62,63,23,0.148412846,0.221703862
0.535271145,0.127511532,0.763346528,28041,0,26.1593335,8,10,61,61,29,0.142209366,0.213829749
0.685149485,0.126984127,0.7717708,27801,0.00014388,27.91527695,8,10,75,64,32,0.133502032,0.210316176
0.865818951,0.151223953,0.758371131,29984,0.000133404,29.7597419,9,10,89,62,39,0.19421404,0.220484258
0.983588922,0.160677451,0.731151259,25572,0.000156421,30.17430191,10,8,83,72,47,0.216914559,0.234592523
0.990673312,0.166395349,0.708640351,22800,0.000175439,29.86028313,10,9,88,87,48,0.22372093,0.238640351
0.887211889,0.186764896,0.734776414,21759,0.000183832,29.1968705,9,10,84,90,51,0.242341993,0.255756239
0.695412541,0.186614917,0.740954889,17468,0.00022899,27.97488373,9,10,96,84,41,0.267072275,0.282917335
0.454692678,0.198182454,0.740431493,17845,0,25.69274864,5,11,92,86,41,0.224513573,0.286522836
0.233421717,0.202845393,0.770983479,18038,0,25.44994034,4,12,91,86,42,0.202734245,0.27880031
0.108257384,0.207728707,0.788480788,25974,0,27.14779404,4,13,92,82,39,0.186198738,0.274235774
0.041535883,0.203445104,0.795511506,26334,0,30.81768404,4,12,83,71,36,0.179279204,0.269575454
0.023175354,0.211727079,0.793416523,23240,0,35.26725578,4,10,72,67,32,0.153731343,0.266996558
